	domain1_score
0	4
1	4
2	4
3	5
4	4
5	4
6	5
7	5
8	4
9	4
10	4
11	4
12	4
13	3
14	3
15	6
16	4
17	4
18	2
19	3
20	4
21	2
22	5
23	6
24	4
25	4
26	2
27	4
28	4
29	4
30	5
31	5
32	3
33	4
34	4
35	5
36	6
37	4
38	5
39	4
40	1
41	4
42	3
43	4
44	4
45	4
46	4
47	6
48	3
49	2
50	4
51	4
52	4
53	5
54	4
55	5
56	4
57	4
58	4
59	2
60	4
61	4
62	4
63	4
64	4
65	4
66	4
67	4
68	4
69	6
70	5
71	5
72	4
73	4
74	4
75	4
76	5
77	5
78	5
79	4
80	4
81	4
82	4
83	3
84	5
85	4
86	5
87	4
88	3
89	4
90	4
91	6
92	6
93	4
94	5
95	4
96	4
97	6
98	4
99	4
100	5
101	4
102	4
103	5
104	4
105	6
106	5
107	4
108	4
109	3
110	6
111	4
112	4
113	4
114	4
115	2
116	4
117	6
118	5
119	4
120	4
121	4
122	5
123	4
124	2
125	4
126	4
127	4
128	5
129	5
130	5
131	6
132	5
133	5
134	4
135	4
136	4
137	5
138	4
139	4
140	5
141	5
142	4
143	4
144	5
145	3
146	6
147	4
148	4
149	4
150	4
151	3
152	4
153	6
154	5
155	4
156	4
157	4
158	5
159	4
160	5
161	6
162	4
163	4
164	4
165	5
166	4
167	4
168	3
169	4
170	4
171	4
172	4
173	4
174	4
175	5
176	4
177	4
178	4
179	5
180	5
181	4
182	4
183	4
184	4
185	4
186	2
187	4
188	3
189	5
190	4
191	6
192	4
193	5
194	2
195	4
196	5
197	5
198	6
199	4
200	4
201	4
202	5
203	5
204	5
205	5
206	4
207	3
208	3
209	4
210	3
211	4
212	4
213	4
214	5
215	4
216	5
217	4
218	4
219	5
220	3
221	4
222	4
223	4
224	6
225	4
226	4
227	4
228	4
229	4
230	4
231	6
232	4
233	4
234	4
235	3
236	4
237	4
238	4
239	4
240	4
241	4
242	6
243	4
244	4
245	6
246	4
247	4
248	4
249	5
250	4
251	4
252	3
253	5
254	4
255	4
256	4
257	6
258	4
259	4
260	4
261	4
262	5
263	4
264	6
265	6
266	5
267	4
268	4
269	4
270	4
271	5
272	4
273	4
274	6
275	4
276	4
277	4
278	5
279	5
280	4
281	4
282	3
283	4
284	6
285	2
286	6
287	4
288	5
289	6
290	6
291	6
292	4
293	5
294	5
295	5
296	4
297	4
298	4
299	4
300	4
301	5
302	5
303	4
304	5
305	4
306	4
307	3
308	4
309	5
310	4
311	4
312	4
313	5
314	4
315	5
316	4
317	4
318	4
319	6
320	4
321	5
322	4
323	4
324	5
325	3
326	4
327	4
328	6
329	5
330	4
331	4
332	5
333	4
334	6
335	5
336	4
337	6
338	4
339	4
340	4
341	4
342	5
343	6
344	4
345	4
346	4
347	4
348	4
349	4
350	2
351	4
352	3
353	4
354	4
355	4
356	1
357	3
358	5
359	5
360	4
361	6
362	4
363	4
364	4
365	4
366	4
367	5
368	4
369	5
370	4
371	4
372	2
373	4
374	5
375	6
376	4
377	5
378	5
379	4
380	6
381	4
382	6
383	5
384	4
385	4
386	4
387	5
388	6
389	4
390	4
391	4
392	3
393	4
394	5
395	5
396	4
397	4
398	3
399	4
400	4
401	4
402	4
403	4
404	4
405	4
406	4
407	4
408	6
409	5
410	4
411	4
412	4
413	3
414	4
415	6
416	3
417	4
418	3
419	4
420	4
421	4
422	5
423	4
424	6
425	4
426	4
427	4
428	6
429	4
430	6
431	4
432	6
433	4
434	4
435	4
436	5
437	4
438	4
439	5
440	4
441	4
442	4
443	5
444	6
445	4
446	1
447	4
448	4
449	4
450	4
451	4
452	2
453	4
454	5
455	4
456	4
457	4
458	4
459	4
460	4
461	4
462	4
463	4
464	4
465	4
466	4
467	4
468	4
469	6
470	4
471	3
472	4
473	4
474	3
475	4
476	5
477	4
478	5
479	4
480	4
481	4
482	5
483	4
484	4
485	4
486	4
487	4
488	4
489	4
490	4
491	4
492	4
493	4
494	4
495	6
496	4
497	5
498	4
499	4
500	4
501	5
502	5
503	4
504	5
505	4
506	6
507	4
508	4
509	4
510	4
511	4
512	4
513	4
514	4
515	4
516	6
517	3
518	4
519	4
520	5
521	4
522	4
523	4
524	4
525	3
526	4
527	5
528	5
529	4
530	4
531	6
532	4
533	4
534	4
535	4
536	4
537	4
538	4
539	5
540	4
541	4
542	1
543	3
544	4
545	4
546	4
547	5
548	4
549	3
550	4
551	4
552	6
553	5
554	5
555	5
556	6
557	4
558	4
559	5
560	4
561	4
562	4
563	4
564	4
565	4
566	4
567	4
568	4
569	6
570	5
571	4
572	5
573	4
574	3
575	4
576	4
577	4
578	4
579	6
580	4
581	4
582	6
583	4
584	4
585	5
586	2
587	3
588	4
589	4
590	5
591	4
592	4
593	3
594	4
595	4
596	4
597	3
598	4
599	4
600	6
601	4
602	3
603	4
604	4
605	4
606	4
607	4
608	4
609	5
610	4
611	3
612	4
613	4
614	4
615	4
616	6
617	4
618	4
619	4
620	3
621	4
622	6
623	4
624	4
625	6
626	6
627	4
628	3
629	5
630	4
631	2
632	5
633	4
634	4
635	4
636	3
637	4
638	4
639	4
640	5
641	4
642	4
643	4
644	6
645	3
646	4
647	5
648	4
649	4
650	4
651	5
652	4
653	4
654	4
655	4
656	5
657	6
658	4
659	3
660	4
661	4
662	4
663	4
664	4
665	5
666	4
667	4
668	4
669	4
670	3
671	4
672	4
673	4
674	4
675	4
676	4
677	4
678	4
679	6
680	5
681	4
682	4
683	4
684	4
685	4
686	4
687	4
688	3
689	3
690	4
691	4
692	4
693	4
694	4
695	3
696	6
697	4
698	4
699	3
700	4
701	4
702	4
703	5
704	4
705	4
706	5
707	6
708	5
709	4
710	5
711	4
712	4
713	4
714	4
715	5
716	4
717	5
718	4
719	5
720	5
721	4
722	3
723	5
724	3
725	4
726	4
727	5
728	4
729	4
730	4
731	5
732	4
733	5
734	4
735	3
736	4
737	4
738	4
739	5
740	5
741	4
742	4
743	4
744	4
745	4
746	5
747	4
748	4
749	4
750	4
751	4
752	4
753	4
754	4
755	4
756	5
757	4
758	4
759	5
760	4
761	4
762	4
763	4
764	4
765	4
766	5
767	4
768	4
769	5
770	4
771	4
772	4
773	4
774	5
775	4
776	4
777	4
778	5
779	6
780	4
781	5
782	4
783	4
784	4
785	4
786	4
787	4
788	4
789	4
790	6
791	4
792	4
793	4
794	5
795	4
796	4
797	5
798	4
799	4
800	3
801	4
802	4
803	3
804	6
805	4
806	4
807	4
808	4
809	4
810	4
811	4
812	5
813	4
814	6
815	4
816	4
817	2
818	4
819	4
820	4
821	4
822	3
823	5
824	3
825	4
826	4
827	5
828	4
829	1
830	4
831	5
832	5
833	4
834	4
835	2
836	5
837	4
838	4
839	4
840	4
841	4
842	5
843	4
844	6
845	3
846	4
847	5
848	4
849	5
850	4
851	4
852	4
853	5
854	4
855	4
856	6
857	4
858	4
859	4
860	5
861	5
862	4
863	4
864	4
865	6
866	3
867	4
868	5
869	4
870	4
871	6
872	6
873	4
874	6
875	4
876	4
877	5
878	4
879	4
880	4
881	4
882	4
883	6
884	4
885	5
886	4
887	4
888	4
889	5
890	2
891	5
892	5
893	4
894	4
895	4
896	4
897	5
898	4
899	5
900	4
901	4
902	3
903	6
904	4
905	5
906	5
907	4
908	4
909	5
910	5
911	4
912	5
913	6
914	3
915	5
916	6
917	4
918	4
919	4
920	3
921	4
922	4
923	4
924	4
925	5
926	5
927	4
928	4
929	6
930	4
931	4
932	4
933	4
934	6
935	6
936	3
937	4
938	6
939	4
940	4
941	4
942	4
943	4
944	5
945	4
946	4
947	5
948	4
949	4
950	6
951	5
952	4
953	4
954	4
955	4
956	4
957	4
958	4
959	4
960	4
961	6
962	4
963	4
964	6
965	4
966	4
967	6
968	4
969	4
970	3
971	1
972	4
973	4
974	4
975	4
976	5
977	5
978	4
979	4
980	4
981	4
982	4
983	6
984	4
985	4
986	4
987	4
988	3
989	2
990	4
991	4
992	2
993	4
994	5
995	4
996	6
997	6
998	4
999	4
1000	4
1001	3
1002	4
1003	4
1004	5
1005	5
1006	4
1007	4
1008	4
1009	4
1010	4
1011	4
1012	5
1013	4
1014	4
1015	5
1016	5
1017	4
1018	4
1019	6
1020	4
1021	4
1022	4
1023	5
1024	4
1025	5
1026	5
1027	4
1028	4
1029	4
1030	5
1031	4
1032	4
1033	4
1034	4
1035	6
1036	4
1037	3
1038	3
1039	4
1040	4
1041	4
1042	4
1043	4
1044	6
1045	5
1046	5
1047	6
1048	4
1049	4
1050	4
1051	4
1052	4
1053	3
1054	5
1055	4
1056	4
1057	4
1058	4
1059	5
1060	5
1061	4
1062	4
1063	4
1064	4
1065	4
1066	5
1067	4
1068	4
1069	4
1070	4
1071	4
1072	4
1073	5
1074	4
1075	6
1076	4
1077	4
1078	4
1079	4
1080	4
1081	4
1082	5
1083	4
1084	6
1085	4
1086	4
1087	3
1088	5
1089	5
1090	4
1091	4
1092	4
1093	2
1094	5
1095	4
1096	4
1097	4
1098	4
1099	4
1100	3
1101	5
1102	4
1103	4
1104	2
1105	4
1106	4
1107	4
1108	6
1109	4
1110	5
1111	5
1112	4
1113	4
1114	4
1115	4
1116	4
1117	4
1118	1
1119	5
1120	3
1121	4
1122	4
1123	5
1124	4
1125	4
1126	4
1127	3
1128	4
1129	6
1130	3
1131	6
1132	4
1133	4
1134	4
1135	5
1136	4
1137	3
1138	4
1139	4
1140	6
1141	4
1142	4
1143	4
1144	4
1145	5
1146	4
1147	5
1148	4
1149	4
1150	4
1151	4
1152	5
1153	3
1154	4
1155	6
1156	4
1157	4
1158	4
1159	5
1160	4
1161	4
1162	4
1163	5
1164	4
1165	5
1166	6
1167	6
1168	4
1169	4
1170	5
1171	4
1172	4
1173	3
1174	4
1175	4
1176	4
1177	5
1178	4
1179	4
1180	5
1181	4
1182	4
1183	5
1184	4
1185	4
1186	4
1187	4
1188	4
1189	5
1190	5
1191	6
1192	4
1193	4
1194	4
1195	4
1196	4
1197	6
1198	4
1199	4
1200	4
1201	4
1202	6
1203	4
1204	4
1205	4
1206	4
1207	4
1208	4
1209	4
1210	5
1211	4
1212	4
1213	2
1214	4
1215	4
1216	5
1217	5
1218	3
1219	4
1220	4
1221	4
1222	4
1223	4
1224	4
1225	4
1226	5
1227	3
