	essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6	essay_prompt	NOUN	CONJ	VERB	INTJ	PART	ADV	ADJ	ADP	CCONJ	SCONJ	spelling_errors	correct_spellings	lexical_diversity	grammar_errors	readability	word_count	sent_count	unique_words	cleaned_essay	polarity (TB)	subjectivity (TB)	positive (VD)	negative (VD)	neutral (VD)	compound (VD)	prompt	relevance (TF-IDF)	relevance (CV)
10684	17834	7	Patience is when your waiting .I was patience when in line waiting for lunch .I didnt c ut any one to eat .I was standing and waiting for my turn .Patience ,some people dont have it .Lots of people just cut or yell at you because they dont have  any patience. Sometimes people will push you out of their way .They only do that because they dont have patience at all. Patience is what people need .People need patience because lots o f feelings get hurt .Everyone should have patience.	8	7		2				1.0	2.0	2.0	3.0			1.0	2.0	2.0	2.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	22	0	14	1	1	5	2	7	2	5	12	33	1.5	24	0.0	45	4	30	Patience waiting .I patience line waiting lunch .I didnt c ut eat .I standing waiting turn .Patience people dont .Lots people cut yell dont   patience people push way .They dont patience Patience people need .People need patience lots o f feelings hurt .Everyone patience	0.0	1.0	0.0	0.061	0.939	-0.6705	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.2745150993393978	0.27451509933939783
10685	17836	7	I am not a patience person, like I cant sit in a sit for more than five minutes, but there was one time I was patience and i bet very alse was to that right riding a bike where out training wheels. When I was five learned how to ride a bike I just keeped falling of at one piont my bike  flip and I allmost broke my jaw but i didnt. Finally after @NUM1 weeks of onstint falling I rode for @NUM2 minutes without falling and finally learn how to riken a bike.	6	7		2				1.0	1.0	2.0	2.0			2.0	2.0	2.0	1.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	19	0	16	0	3	4	3	11	5	5	10	30	1.25	11	0.0	40	6	32	patience person like cant sit sit minutes time patience bet alse right riding bike training wheels learned ride bike keeped falling piont bike   flip allmost broke jaw didnt Finally weeks onstint falling rode minutes falling finally learn riken bike	0.19714285714285712	0.6671428571428571	0.0	0.127	0.873	-0.8383	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.37204580241691376	0.3720458024169138
10686	17837	7	One day I was at basketball practice and I was running has  with my team when I was getting really really thirsty  do after we did are suicides (a running exercise)I asked coach if we could go get  some drinks  coach said after are double drible down and back exercise @CAPS1 I did the exercise and we all rushed to the drinking fountain and I was at the end of an @NUM1 girl  line .I waited and waited until finally there I was faced with that drinking fountain when one girl says  can I have a drink thank you and all I could do if be stunned..Thats were I heard a bright ladys lets go! I was @CAPS1 mad but I quickly took a @NUM2 second drink of water and rushed over to coach and now Im the fisst one alot and I take long drunks do my teammates call me a fish!	7	8		2				1.0	2.0	2.0	2.0			2.0	2.0	2.0	2.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	31	0	24	0	1	9	8	9	10	6	17	49	1.2452830188679245	23	15.402404294478528	66	4	53	day basketball practice running   team getting thirsty   suicides running exercise)I asked coach   drinks   coach said after double drible exercise exercise rushed drinking fountain end girl   line .I waited waited finally faced drinking fountain girl says  drink thank you stunned Thats heard bright ladys lets go! mad quickly took second drink water rushed coach Im fisst alot long drunks teammates fish	0.03902777777777778	0.4188888888888889	0.031	0.015	0.955	0.2924	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.0	0.0
10687	17838	7	I going to write about a time when I went to the @ORGANIZATION1 fair, we had fun, we saw a ride we wanted to get on, so we got in line. Suddenly, we noticed that we were at the end of the line. So my mother said. @CAPS1 get on another ride then. We already tried the other rides, my father said. So we stayed at the end of the line until it was our turn, and said that was the last ride, soon there were people behind us complaining, their younger children was getting mad, and parents was hollering. We just stood there, and kept being patient. That didnt desterb us. since we were raised to be patient, and wait our turn at things. I feel being patient is very important, because if you act up in line, you might make people think theyre holding you up, but its the line moving slow. Advice: when you are waiting at the end of the line, dont shout, scream, holler, or yell at anyone, it only creates trouble. Just dont think about all of the people ahead of you, talk to someone, just take your mind off of it for a while, then youll notice, the line is moving quicker than you expected. P.S. We enjoyed the ride.	8	9		2				2.0	2.0	2.0	2.0			2.0	2.0	2.0	3.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	33	0	41	1	4	14	12	24	6	8	13	74	1.2985074626865671	12	7.032909508088478	87	13	67	going write time went fair fun saw ride wanted got line Suddenly noticed end line mother said. ride then. tried rides, father said stayed end line turn said ride soon people complaining younger children getting mad parents hollering stood kept patient didnt desterb raised patient wait turn things feel patient important act line people think theyre holding its line moving slow Advice waiting end line dont shout scream holler yell creates trouble dont think people ahead talk mind youll notice line moving quicker expected P.S. enjoyed ride	0.019285714285714278	0.5315476190476192	0.055	0.047	0.898	0.2135	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.7065618047809736	0.7065618047809737
10688	17839	7	It can be very hard for somebody to be patient. If you are patient, then you are understanding and tolerant. You have to be patient sometimes. When you go to the dentist or doctors office, you need to be very patient. There was a girl who had to go to the dentist. She hated the dentist. It was always so boring. First, youd sit there while your parents did a whole bunch of paperwork. You have to just sit there for like @NUM1 minutes before you even go in. Then, when you finally go in, they start working on your teeth for like ten minutes, then youd sit there for another fifteen minutes. Finally, When you are done getting your teeth cleaned youd sit there for another ten minutes while your parents talk to the dentist. So, you need to be patient sometimes, even when you are just dying of boredome.	7	6		2				1.0	2.0	2.0	2.0			1.0	2.0	1.0	2.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	18	0	23	2	6	23	9	10	2	9	6	42	1.6	6	6.081247169811321	48	12	30	hard somebody patient patient understanding tolerant patient dentist doctors office need patient girl dentist hated dentist boring youd sit parents bunch paperwork sit like minutes finally start working teeth like minutes youd sit minutes Finally getting teeth cleaned youd sit minutes parents talk dentist need patient dying boredome	-0.16291666666666665	0.54375	0.045	0.056	0.899	-0.4184	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.5512070872020745	0.5512070872020747
10689	17840	7	There was a girl name @PERSON1. She loved spending time with her mom. Every weekend they would either @CAPS3 the movies, amusement or water park, or just stay home. This time was different though. @PERSON1 was even a little scared about @CAPS1 was about @CAPS3 happen. Today was a @DATE1 and @PERSON1 and her mom was watching videos of her mom when she was young. After the video, @PERSON1 and her mom looked at each other and laughed. Once they settled down, @PERSON1s mom looked sad. @CAPS1s wrong mom? @PERSON1 asked. I have @CAPS3 go. I have @CAPS3 go somewhere for work and cant take you with me, mom replied. @CAPS2 not? asked @PERSON1. I dont know, but I need you @CAPS3 wait here with your father. Ill be back soon, the mom said calmly. With that @PERSON1s mom left and drove away. @PERSON1 stood there confused and wishing her mom didnt have @CAPS3 go. Then she went @CAPS3 the phone and called her dad. An hour later, @PERSON1s dad came @CAPS3 her house. He calmed @PERSON1 down, who had been crying because she missed her mom. @PERSON1 went @CAPS3 her room and began  @CAPS3 wait patiently for her mom. Weeks past and @PERSON1s mom still hasnt returned. Every night now @PERSON1 cried hoping her mom would come. During the day she would wait watching for her mom. @PERSON1 wanted her mom more than ever now. Though see never complained @CAPS3 her father and understands that her mom left for an important reason, but still she missed her mom. Two years have passed since @PERSON1s mom had left. @PERSON1 didnt cry as much but still waited. Waited for her mother @CAPS3 come back. One day @PERSON1 heard a knock on the door, she answered it and there stood her mother. They stood on the porch for a moment, then hugged each other. They both cried and her mom whispered Im sorry. @CAPS3 @PERSON1. Now @PERSON1 and her were unseperatable. They never left each others side again.	11	12		3				2.0	3.0	3.0	3.0			3.0	3.0	3.0	3.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	69	0	64	0	0	29	12	18	20	9	53	85	1.393939393939394	15	9.19900641521599	138	34	99	girl loved spending time mom weekend movies amusement water park stay home time different little scared happen Today mom watching videos mom young video mom looked laughed settled mom looked sad @CAPS1s wrong mom? asked I work cant me, mom replied @CAPS2 not? asked I dont know need wait father Ill soon, mom said calmly mom left drove away stood confused wishing mom didnt went phone called dad hour later dad came house calmed crying missed mom went room began   wait patiently mom Weeks past mom hasnt returned night cried hoping mom come day wait watching mom wanted mom complained father understands mom left important reason missed mom years passed mom left didnt cry waited Waited mother come day heard knock door answered stood mother stood porch moment hugged cried mom whispered Im sorry. unseperatable left others	0.01736111111111111	0.3818376068376068	0.074	0.082	0.844	-0.5685	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.291111254869791	0.291111254869791
10690	17841	7	Un Patience @CAPS1.   My name is @CAPS2 and I have a very hipper non patience horse named @CAPS1. @CAPS1 is a chestnut quarter horse with a white star on his forehead who is very un patient. He is always hipper and ready to go. For example when we are getting ready to go on a horse ride in our back trains he dose not stand still when I am tacking him up at the post. And when we are on the ride he always is so far up ahead that I have to stop him to wait for the group. And thats when he gets unpatient. No matter what he will not stand still and wait for the group so I have to spin him around and walk back to the group. Meany times I have tried training him to be patient but I have always failed. I guess he just always has to be doing something. But I will always love him no matter how un patience he is.	8	8		2				2.0	2.0	2.0	2.0			2.0	2.0	2.0	2.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	18	0	23	0	9	20	11	11	8	7	9	46	1.3095238095238095	7	7.166133403805497	55	12	42	Un Patience    hipper non patience horse named chestnut quarter horse white star forehead un patient hipper ready example getting ready horse ride trains dose stand tacking post ride far ahead stop wait group thats gets unpatient matter stand wait group spin walk group Meany times tried training patient failed guess love matter un patience	0.09	0.35	0.067	0.061	0.872	0.0129	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.5055107012718832	0.5055107012718834
10691	17842	7	A time when I was patient was when I preordered a videogame called @CAPS1 @CAPS2 I preordered it a month before it came out and I couldnt wait for it to come out. I mostly wanted it because @ORGANIZATION1 is the company that makes it and this is the last game @ORGANIZATION1 was making because some other company bought the @CAPS1 series from @ORGANIZATION1. When the game finally came out on @DATE1 fourteenth two thousand ten, I bought with my friends and the game is amazing. I would give it four of five stars. Im not absessed with it through. I play it only about two hours a day which is all my parensts let me play any way. Hala @CAPS2 is my very favorite game.	9	9		2				2.0	2.0	2.0	3.0			2.0	2.0	2.0	3.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	19	0	18	0	2	6	5	8	3	7	16	25	1.2424242424242424	6	8.444412087912088	41	7	33	time patient preordered videogame called preordered month came couldnt wait come wanted company makes game making company bought series game finally came fourteenth thousand bought friends game amazing stars Im absessed play hours day parensts let play way Hala favorite game	0.002083333333333335	0.5368055555555556	0.121	0.0	0.879	0.9324	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.5261522196019802	0.5261522196019803
10692	17843	7	One time I was patience it was when I wanted a phone I didnt get a phone I knew I was gonna get one someday .The day finally came to get my phone @DATE1 it was my @NUM1 birthday .I was opening presents and I didnt know what I was getting but the last and find big present was a cell phone .So I called my friend on it and  she said whose phone are you calling from I said my .I couldnt believe I could be so patience for such a long time .I was so happy that I could be so patience for  so long. I did not know someone could  be so patience for so long .Once I got my phone I wasnt patience for waiting for a texted message to come back to me .After all I got patience and just waited until I got the text message back . I wish I could be patience everyday but cant do that .Im happy that I have a phone so I can call my mom after all my activitys and  then I know she is on her way and I will be patience with her: could I ever be more  patience . Some days I never patience with anything .one day I will teach someone to be patience to me and I will be happy to do that .But some day and every day after that I will be to patience for everybody .I wish everybody will be patience some day, Patience means you will just wait for that day or moment of live .This a time when I was patience and when I want other people to be patience .I hope someday everybody in the world will be patience with everybody. Will you please help other people to be patient and then they could teach someone new every day .I will be patience or trie to be patience and wait for another thing to happen in life .I hope you are patience at times too. Thanks for reading the time I was patience and times when I want to be patience .Hope you enjoyed his story.	8	4		2				2.0	2.0	2.0	2.0			1.0	1.0	1.0	1.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	64	0	50	1	12	21	13	21	16	10	27	118	1.858974358974359	51	10.450626126126126	145	23	78	time patience wanted phone didnt phone knew gon na someday .The day finally came phone birthday .I opening presents didnt know getting find big present cell phone .So called friend   said phone calling said .I couldnt believe patience long time .I happy patience   long know   patience long .Once got phone wasnt patience waiting texted message come .After got patience waited got text message wish patience everyday cant .Im happy phone mom activitys   know way patience   patience days patience .one day teach patience happy .But day day patience everybody .I wish everybody patience day Patience means wait day moment live .This time patience want people patience .I hope someday everybody world patience everybody help people patient teach new day .I patience trie patience wait thing happen life .I hope patience times Thanks reading time patience times want patience .Hope enjoyed story	0.15584415584415584	0.4557720057720057	0.166	0.0	0.834	0.9965	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.3624762557974648	0.3624762557974649
10693	17844	7	I think patience is a time when you have to be calm. It is also a time of wateing. For some people being patient is extremely hard. But for me its easy. At times I can be inpatient, but everyone can be. Being patient is kinda new racking, but I manage. A lot of times I get mad if I have to be too patient. I think @PERCENT1 of people in the world dont like to be patient. with patience comes a reward is you are really patient!	4	6		1				0.0	1.0	1.0	2.0			1.0	1.0	2.0	2.0									"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	13	0	8	0	3	5	12	8	3	2	4	29	1.375	5	0.0	33	9	24	think patience time calm time wateing people patient extremely hard its easy times inpatient patient kinda new racking manage lot times mad patient think people world dont like patient patience comes reward patient	0.033838383838383855	0.6299242424242425	0.154	0.062	0.785	0.8572	"Write about patience. Being patient means that you are understanding and tolerant. A patient person experience difficulties without complaining. Do only one of the following: write a story about a time when you were patient OR write a story about a time when someone you know was patient OR write a story in your own way about patience.
"	0.6345634527390712	0.6345634527390713
